Item,SKU Interno,Grupo,Producto,Especificación,Funcionalidad,Medidas,Compatibilidad,Comentarios Técnicos y de Venta,Imagen
12,VR-CBKT-00012,Carburación,Kit carburador,"PZ27: Juntas + chicleres
",Reparar componentes internos para carburadores 150-200cc.,"Liga de la Cuba (Empaque inferior): Diámetro de 52 mm aprox. (en su forma circular).
Distancia de tornillos del aislador: 48 mm de centro a centro.
Diámetro del Émbolo (Cortina): 20 mm (PZ26) a 22 mm (PZ27). Nota: Aquí sí hay una pequeña variación, pero a veces los kits genéricos usan la misma aguja.
Rosca del Chicler de Alta: M5 (5 mm de diámetro en la rosca).
Rosca del Chicler de Baja: M4 (4 mm de diámetro en la rosca).

Orificio Chicler Alta: 1,05 mm
Orificio Chicler Baja: 0,38 mm
Largo de la aguja: 40 mm","Italika: FT150 (G, TS, Delivery), DT150, 150Z (Varillera), FT180, FT200.
Honda: Cargo 150 (Varillera).
Vento: Workman 150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros de 150cc, 180cc y 200c",La aguja y esprea de alta son ligeramente más grandes que el kit PZ26 para compensar la mayor cilindrada.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBKT-00012.webp?alt=media&token=44fd5a1b-2325-4dd6-9c69-a2bdba70b1ac
13,VR-DIJU-00013,Suspensión,Cunas de Dirección,Juego de 7 piezas,Permitir el giro suave y estable de la horquilla delantera.,Estándar CG (Bolas de acero),"Italika (Línea de Trabajo y Urbanas)
Serie FT: FT125 (todas), FT150 (todas: G, TS, GT, Delivery), FT180, FT200, FT250.
Serie DT: DT125, DT150 (Sport, Clasica, Delivery).
Serie Forza: Forza 125, Forza 150.
Serie Z: 125Z, 150Z, 150SZ, 175Z.
Serie DM: DM150 (Roja), DM200 (Verde). Nota: Algunas versiones muy recientes de DM250 ya usan rodillos cónicos, pero este kit le queda a las clásicas.

Honda (Modelos de Trabajo)
CGL125 Tool: Es la aplicación número uno en Honda.
Cargo 125 / 150: Versiones varilleras.
CBF125 / CB125F: Modelos urbanos.

Vento
Workman: 125, 150, 250.
Ryder: 150.

Lithium: 150.

Cyclone: 150, 200.

Xpress: 150.","Juego de 7 piezas con balines de acero. Si la moto ""se jalonea"" o el manubrio se siente trabado al centro, requiere cambio.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fsu%2FVR-DIJU-00013.webp?alt=media&token=e1efb7f4-4efe-4a7a-95a9-208623aa85fd
14,VR-ELBO-00014,Eléctrico,Bobina de encendido,Corriente Alterna (AC) para CDI de 5 o 6 pines.,Elevar el voltaje de la batería/estator para crear la chispa en la bujía.,"Conexión: Suele tener un solo pin (una muesca de metal) para el cable que viene del CDI y la tierra la hace el mismo tornillo que la sujeta al chasis.
Cable: El cable de alta tensión (el negro grueso) suele medir entre 30 cm y 40 cm.
Capuchón: Generalmente viene con el capuchón de plástico rígido sencillo.","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera).
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros tipo CG desde 125cc hasta 200cc.","Para sistemas de Corriente Alterna (AC). Si la moto tiene dificultad para encender en frío o pierde potencia, puede ser falla de bobina.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fel%2FVR-ELBO-00014.webp?alt=media&token=84a30c09-d352-4042-908d-2fae8ce98c68
15,VR-ELRG-00015,Eléctrico,Regulador / rectificador,"Regulador de 5 Cables (El más común): 
Rosa y Amarillo: Entrada del estator.
Rojo: Positivo de batería.
Verde: Tierra (Negativo).
Negro: ""Sensor"" de voltaje (va al switch).

Regulador de 4 Cables: Es igual, pero no tiene el cable negro. En muchas motos Italika, si el regulador original es de 5, puedes poner el de 4 y simplemente dejar el cable negro de la moto suelto (o viceversa), pero lo ideal es que coincidan.",Convertir la corriente del motor para cargar la batería y proteger luces.,"Cuerpo: Aluminio con aletas de enfriamiento (disipador de calor).
Conector: Un solo enchufe de plástico con 4 pines y a veces un cable suelto (el negro).
Voltaje de salida: Debe regular entre 13.5 y 14.8 con la moto acelerada.","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera).
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros tipo CG desde 125cc hasta 200cc.
Nota técnica: Verifique que su regulador original sea de 4 o 5 cables. No compatible con sistemas trifásicos (como XR150L o motos 250cc de alto desempeño).",Crucial: Verificar si el original es de 4 o 5 cables. El cuerpo de aluminio ayuda a disipar el calor para evitar que se queme.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fel%2FVR-ELRG-00015.webp?alt=media&token=06c57b98-b12b-4c4c-8b61-ab423fe32c55
16,VR-ELSL-00016,Eléctrico,Solenoide de arranque,"12V, 125–150cc",Actuar como interruptor de alto voltaje para el motor de arranque.,"Voltaje: 12V.
Conector: Un enchufe plástico de 2 pines (generalmente cables Rojo/Amarillo y Verde).
Bornes: Dos postes de cobre con tuercas (generalmente de 10mm) protegidos por capuchones de hule rojo.
Fusible: Algunos modelos ""tipo original"" traen un porta-fusible de 15A o 20A integrado, pero el estándar CG suele ser el barril liso sin fusible.","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera).
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros tipo CG desde 125cc hasta 200cc.","Si al presionar el botón de encendido solo se escucha un ""click"", es probable que el solenoide esté dañado.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fel%2FVR-ELSL-00016.webp?alt=media&token=8c61c4a5-a869-4b4f-a1f5-4d806b54d8d7
17,VR-ENAC-00017,Motor (Engine),Aceite Motor 4T,20W-50 Mineral,"Lubricar, enfriar y limpiar las piezas internas del motor.","1 Litro
JASO MA2","Motores 4 tiempos de baja y media cilindrada.
No compatible con scooters, motos de alta cilindrada o climas de frios extremos","Certificación JASO MA2 (ideal para embragues sumergidos). Cambiar cada 2,000 - 3,000 km para vida máxima del motor.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENAC-00017.webp?alt=media&token=65d40671-25b2-4cf6-989a-16867cd612c0
18,VR-ENBJ-00018,Motor (Engine),Bujía,A7TC estándar,Generar la chispa necesaria para la combustión (Rosca corta).,"Diámetro de rosca: 10 mm
Largo de rosca: 12,7 mm
Medida del Hexágono: 16 mm","FT125/150, CGL125, Workman 125/150",Rosca 10mm. Es la bujía estándar de mayor uso en motores de trabajo varilleros.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENBJ-00018.jpg?alt=media&token=cebb6f27-0865-4263-9672-0c2096fd5c14
19,VR-ENBJ-00019,Motor (Engine),Bujía,D8EA estándar,Generar la chispa en motores de mayor cilindrada (Rosca gruesa).,"Diámetro de rosca: 12 mm
Largo de rosca: 19 mm
Medida del Hexágono: 18 mm","Rocketman 250, Tornado 250, Thunderbird",Rosca 12mm. Se usa comúnmente en motores 250cc que requieren mayor rango térmico.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENBJ-00019.webp?alt=media&token=c81ae978-8160-4d70-a95f-7fedfba8c44c
20,VR-ENBJ-00020,Motor (Engine),Bujía,CPR8EA-9 estándar,Generar la chispa en motores modernos (Rosca larga).,"Diámetro de rosca: 10 mm
Largo de rosca: 19 mm
Medida del Hexágono: 16 mm","XR150L, Invicta 150, CB190R",Rosca 10mm larga. Utilizada en motores con sistema OHC (cadena de distribución) que tienen la cámara de combustión profunda.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENBJ-00019.webp?alt=media&token=c81ae978-8160-4d70-a95f-7fedfba8c44c
21,VR-ENBJ-00021,Motor (Engine),Bujía Boxer 150,Específica Bajaj,Generar la chispa específica para tecnología Bajaj.,"Rosca: 10mm
Largo: 19mm","Bajaj: 
Boxer 150
Discover 125/150",Diseñada para el ciclo de trabajo de Bajaj. Mantener el gap (calibración) correcto es vital para el ahorro de combustible.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENBJ-00021.webp?alt=media&token=7151f63c-0708-4998-af01-40be129ed154
22,VR-ENBT-00022,Motor (Engine),Bomba de Aceite,Tipo Engrane,Succionar y distribuir el aceite a presión hacia la cabeza del motor.,Engrane: 18 Dientes,"Italika: Casi toda la línea de trabajo y urbana: FT125, FT150, DT125, DT150, Forza 125/150, Delivery 150, 150Z (solo versión varillera), RC150.
Honda: CGL125 Tool, Cargo 125, Cargo 150 (versión antigua varillera).
Vento: Workman 125/150/250, Ryder 150, Lithium 150, Cyclone 150/200.
Doble Propósito: Italika DM150 (roja/clásica) y DM200 que usen motor de varillas (OHV).

Motores Genéricos: Todos los motores chinos con nomenclatura 156FMI (125cc), 162FMJ (150cc) y 163FML (200cc).","Engrane de 18 dientes. Si la cabeza del motor suena mucho (punterías), puede ser señal de que la bomba ya no manda presión.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENBT-00022.webp?alt=media&token=46b365b7-4dfb-4a56-90c6-be3b3fc2f95c
23,VR-ENFO-00023,Motor (Engine),Cedazo de Aceite (Filtro de Malla),Filtro de Aceite de Malla,Filtrar partículas gruesas del aceite dentro del cárter.,Marco de polímero con malla de acero inoxidable.,"Italika: FT125, FT150, DT150, DM150, 150Z, RC150.
Honda: CGL125 Tool.",Es una malla lavable de acero. Se recomienda limpiar en cada cambio de aceite para evitar obstrucciones.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENFO-00023.webp?alt=media&token=1bb1b198-7ca2-4a7e-826e-8e41c88dbfe0
24,VR-ENFO-00024,Motor (Engine),Filtro de Aceite de Papel (Tipo Cartucho),,Filtración fina de impurezas en motores Bajaj.,"Medidas: Diámetro: 40mm
Altura: 40 mm
Medio Filtrante: Papel micrónico plisado de alta eficiencia.
Válvula: No aplica (es cartucho abierto).","Bajaj: Boxer 150 (BM150), Boxer 150X, Boxer UG, Pulsar 135, Pulsar 150, Pulsar 160NS, Pulsar 180, Pulsar 200NS (algunas versiones), Discover 125/150.","Desechable. A diferencia del cedazo, este se debe reemplazar por uno nuevo en cada cambio de aceite obligatoriamente.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENFO-00024.webp?alt=media&token=46d828c7-92f8-4c24-81e0-2f04c2bb5b71
25,VR-ENJT-00025,Motor (Engine),Juego juntas top end,Culata + base cilindro,"Sellar la unión entre cilindro, cabeza y cárter para evitar fugas.","El orificio central mide 56,5 mm","FT125, DT 125, Forza 125, CGL125, Workman 125",No requiere silicón si las superficies están limpias. Vital para mantener la compresión del motor.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENJT-00025.webp?alt=media&token=f1021c54-4e47-4dd2-b5b2-f997a38284b1
26,VR-ENJT-00026,Motor (Engine),Juego juntas top end,Culata + base cilindro,Sellar los componentes superiores en motores 150cc.,El orificio central mide 62 mm,"FT150, DT150, Delivery 150, Workman 150, Ryder 150, Lithium 150",Mismas propiedades que la de 125cc pero con diámetro mayor para el pistón de 150cc.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENJT-00026.webp?alt=media&token=7fd5060e-37c5-44a1-9c7a-3f6f79c8b8b4
27,VR-ENJT-00027,Motor (Engine),Junta de Tapa de Clutch,,Evitar fugas de aceite en la tapa lateral derecha del motor.,"Material: Celulosa expandida de alta densidad (Non-Asbestos).
Espesor: 0.5mm a 0.8mm (estándar de sellado hermético).
Resistencia: Soporta temperaturas de hasta 180°C y es resistente a la degradación por aceites sintéticos y minerales.
Diseño: Troquelado de precisión para 11 barrenos de tornillo y paso de vena de aceite.","Italika (Motores CG Varilleros): FT125, FT150 (G, TS, GT, Delivery), DT125, DT150 (Sport, Clasica), Forza 125/150, 150Z (Varillera), DM150 (Roja), RC150.
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Modelos varilleros).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.",Material de celulosa de alta densidad. Se debe cambiar siempre que se abran los discos de clutch para garantizar sellado.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENJT-00027.webp?alt=media&token=e0835c41-38d6-449a-9939-38dae173fdfa
28,VR-ENJV-00028,Motor (Engine),Empaque junta punterías,CG125/150,Sellar la tapa superior donde se ajustan las punterías.,"Forma: Parece un ""rectángulo con orejas"".
Número de barrenos (hoyos): Tiene 3 orificios para los tornillos de la tapa.
Material: Generalmente es de hule negro (nitrilo) resistente al calor o de un compuesto de corcho/caucho.
Medida aprox: 135 mm de largo por 95 mm de ancho (en sus puntos más externos).","Italika: FT125, FT150 (todas), DT125, DT150, Forza 125, Delivery 150.
Honda: CGL125 Tool, Cargo 125 (vieja).	SÍ
Vento: Workman 125/150, Ryder 150, Lithium 150, Xpress 150.
General: Cualquier motor tipo CG desde 125cc hasta 250cc (mismo molde)","Evita el molesto ""sudado"" de aceite en la parte superior del motor. Hecha de hule nitrilo resistente al calor extremo.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENJV-00028.webp?alt=media&token=5dc72b70-c1ea-47ca-a3c8-97c276c22b91
29,VR-ENOR-00029,Motor (Engine),Kit O-rings motor,Tapas laterales,Sellar tapones de inspección y bayoneta de aceite.,"O-ring	Diámetro Interior	Grosor (Cuerda)
Tapón Grande (Tiempo)	27 mm - 30 mm	2.5 mm
Tapón Chico (Cigüeñal)	13 mm - 14 mm	2.5 mm
Bayoneta / Tapón Aceite	18 mm - 19 mm	3.0 mm","Italika: FT125, FT150 (todas), DT125, DT150, Forza 125, Delivery 150.
Honda: CGL125 Tool, Cargo 125 (vieja).	SÍ
Vento: Workman 125/150, Ryder 150, Lithium 150, Xpress 150.
General: Cualquier motor tipo CG desde 125cc hasta 250cc (mismo molde)",Incluye orings para los tapones de tiempo y el de la bayoneta. Evitan pequeñas fugas estéticas.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENOR-00029.webp?alt=media&token=888f5131-e404-44d3-bf5e-0a96559095e5
30,VR-ENPA-00030,Motor (Engine),Palanca de arranque (kick),Tipo CG,Permitir el encendido manual del motor mediante pedal (Kick).,"Diámetro del Estriado (Hoyo): 16 mm
Largo Total: 260 mm - 280 mm (aprox.)
Tornillo de Sujeción: M8 (Requiere llave de 12mm o 13mm)
Tipo de Eje: Estriado de 6 o más dientes (estándar CG)","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera)
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera)
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores tipo CG 125cc, 150cc, 200cc y 250cc",Estriado de 16mm. Se debe apretar muy bien el tornillo para evitar que el movimiento raye el eje de arranque.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENPA-00030.webp?alt=media&token=74669248-27d7-4440-a4d3-68f276e06e5b
31,VR-ENPI-00031,Motor (Engine),Kit Pistón y Anillos,150cc STD,Convertir la explosión de gasolina en movimiento mecánico.,"Diámetro: 62mm
Perno: 15mm","Italika (La mayor rotación)
Línea FT: FT150, FT150G, FT150 GT, FT150 TS, FT150 Delivery, FT150 Azul/Grafito.
Línea DT: DT150, DT150 Sport, DT150 Delivery, DT150 Clasica.
Línea Z: 150Z (Solo la versión Varillera).
Otras: Forza 150, RC150 (Chopper), Delivery 150.

Honda (Modelos específicos)
Cargo 150 (GL150): Compatible con las versiones Varilleras (modelos anteriores al motor OHC).
CGL125 Tool (Upgrade): Muchos mecánicos usan este kit para ""subir"" de 125cc a 150cc las Honda Tool, ya que el bloque lo permite.

3. Vento
Workman 150 (Modelo de trabajo).
Ryder 150.
Lithium 150.
Cyclone 150.","Incluye pistón, anillos, perno y seguros. Requiere un periodo de ""asentamiento"" de 500km tras su instalación.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENPI-00031.webp?alt=media&token=5f280a59-1811-422f-a3e0-9a5c1687157e
32,VR-ENRT-00032,Motor (Engine),Retén eje salida,Estandar: medida original,Evitar fugas de aceite por el eje donde va el piñón de cadena.,"20 mm: Diámetro interno (lo que mide el eje).
34mm: Diámetro externo (el hueco en el motor).
7mm: Grosor del retén.","Italika: FT125, FT150 (todas), DT125, DT150, Forza 125, Delivery 150.
Honda: CGL125, Cargo 125.
Vento: Workman 125/150, Ryder 150, Lithium 150.
Clones CG: Dinamo, Kurazai, Carabela 125-200cc.",Medida 20x34x7mm. Es el retén que más falla debido a la acumulación de tierra y grasa en el piñón.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENRT-00032.webp?alt=media&token=8fdba441-9b0c-42da-a0aa-a76e06216d4c
